OID,CALWNUM,ZONE_CODE,COUNT,AREA,MEAN
-1, 3313.000302,2,4922,49220000.000000000000000,2.670000076293945
-1, 3313.000303,3,5055,50550000.000000000000000,2.839999914169312
-1, 3312.300701,4,2959,29590000.000000000000000,1.000000000000000
-1, 3312.200905,5,3507,35070000.000000000000000,2.839999914169312
-1, 3314.300103,6,2064,20640000.000000000000000,1.669999957084656
-1, 3313.000203,8,2957,29570000.000000000000000,2.009999990463257
-1, 3312.200102,10,3115,31150000.000000000000000,1.500000000000000
-1, 3313.000101,11,3751,37510000.000000000000000,3.339999914169312
-1, 3313.000201,12,3230,32300000.000000000000000,2.509999990463257
-1, 3314.300101,14,4248,42480000.000000000000000,3.009999990463257
-1, 3314.400601,15,2116,21160000.000000000000000,1.509999990463257
-1, 3313.000102,18,3410,34100000.000000000000000,2.009999990463257
-1, 3314.400602,20,2892,28920000.000000000000000,1.669999957084656
-1, 3313.000103,21,4003,40030000.000000000000000,3.339999914169312
-1, 3314.100401,22,3892,38920000.000000000000000,1.500000000000000
-1, 3314.400401,25,4644,46440000.000000000000000,2.000000000000000
-1, 3314.100402,28,3004,30040000.000000000000000,2.009999990463257
-1, 3314.100602,29,3436,34360000.000000000000000,1.669999957084656
-1, 3314.100101,30,2468,24680000.000000000000000,1.509999990463257
-1, 3314.510703,31,3023,30230000.000000000000000,2.000000000000000
-1, 3314.400500,32,4651,46510000.000000000000000,2.509999990463257
-1, 3314.400402,34,2042,20420000.000000000000000,1.169999957084656
-1, 3314.400201,35,4570,45700000.000000000000000,3.170000076293945
-1, 3314.100102,36,3134,31340000.000000000000000,2.339999914169312
-1, 3314.200102,38,4527,45270000.000000000000000,2.670000076293945
-1, 3314.200101,39,4098,40980000.000000000000000,3.670000076293945
-1, 3314.300102,42,3908,39080000.000000000000000,3.670000076293945
-1, 3314.510701,44,1919,19190000.000000000000000,1.830000042915344
-1, 3314.510604,45,2556,25560000.000000000000000,2.329999923706055
-1, 3314.200104,47,4429,44290000.000000000000000,4.000000000000000
-1, 3314.100601,48,3172,31720000.000000000000000,1.500000000000000
-1, 3314.400300,50,1553,15530000.000000000000000,1.840000033378601
-1, 3314.300201,51,3026,30260000.000000000000000,2.009999990463257
-1, 3314.100500,53,3871,38710000.000000000000000,2.339999914169312
-1, 3314.300203,54,4252,42520000.000000000000000,2.839999914169312
-1, 3314.510603,55,1955,19550000.000000000000000,1.830000042915344
-1, 3314.510602,56,3633,36330000.000000000000000,3.660000085830688
-1, 3314.510605,57,2942,29420000.000000000000000,2.660000085830688
-1, 3314.400800,58,7837,78370000.000000000000000,4.000000000000000
-1, 3314.200103,61,6106,61060000.000000000000000,4.829999923706055
-1, 3314.510702,63,2220,22200000.000000000000000,2.500000000000000
-1, 3314.100300,64,2692,26920000.000000000000000,3.500000000000000
-1, 3314.510202,65,4246,42460000.000000000000000,3.990000009536743
-1, 3314.400202,66,1006,10060000.000000000000000,1.169999957084656
-1, 3314.510105,67,4347,43470000.000000000000000,2.990000009536743
-1, 3314.100200,69,3255,32550000.000000000000000,3.500000000000000
-1, 3314.200203,70,1744,17440000.000000000000000,2.000000000000000
-1, 3314.400101,71,558,5580000.000000000000000,1.169999957084656
-1, 3314.510800,72,3142,31420000.000000000000000,2.829999923706055
-1, 3315.100702,73,3051,30510000.000000000000000,3.660000085830688
-1, 3314.510503,74,2945,29450000.000000000000000,2.160000085830688
-1, 3314.300202,78,4227,42270000.000000000000000,4.329999923706055
-1, 3314.510502,79,3964,39640000.000000000000000,3.490000009536743
-1, 3314.400102,80,3768,37680000.000000000000000,4.159999847412109
-1, 3314.200201,82,2932,29320000.000000000000000,4.159999847412109
-1, 3314.200202,83,3278,32780000.000000000000000,4.159999847412109
-1, 3314.510106,84,2574,25740000.000000000000000,1.659999966621399
-1, 3314.510404,85,3878,38780000.000000000000000,3.490000009536743
-1, 3314.400701,86,2756,27560000.000000000000000,3.829999923706055
-1, 3315.100602,87,3243,32430000.000000000000000,2.990000009536743
-1, 3314.510902,88,1290,12900000.000000000000000,2.329999923706055
-1, 3314.400702,89,3172,31720000.000000000000000,4.500000000000000
-1, 3314.510504,90,4528,45280000.000000000000000,4.659999847412109
-1, 3314.200204,91,5620,56200000.000000000000000,4.489999771118164
-1, 3315.100501,92,3517,35170000.000000000000000,4.329999923706055
-1, 3314.510501,93,3194,31940000.000000000000000,3.660000085830688
-1, 3314.510901,94,3011,30110000.000000000000000,4.159999847412109
-1, 3315.100302,97,2866,28660000.000000000000000,4.159999847412109
-1, 3315.100301,99,2337,23370000.000000000000000,3.160000085830688
-1, 3314.510505,100,2204,22040000.000000000000000,2.660000085830688
-1, 3314.510403,101,4124,41240000.000000000000000,4.320000171661377
-1, 3315.100502,102,3081,30810000.000000000000000,4.159999847412109
-1, 3314.510405,103,3527,35270000.000000000000000,3.490000009536743
-1, 3315.100202,104,4850,48500000.000000000000000,4.659999847412109
-1, 3315.100201,105,2321,23210000.000000000000000,3.160000085830688
-1, 3314.510401,106,3663,36630000.000000000000000,3.819999933242798
-1, 3315.100204,107,2115,21150000.000000000000000,2.500000000000000
-1, 3315.100101,108,2181,21810000.000000000000000,3.329999923706055
-1, 3315.100104,109,2657,26570000.000000000000000,4.000000000000000
-1, 3315.100103,110,3106,31060000.000000000000000,3.670000076293945
-1, 3315.100203,111,3570,35700000.000000000000000,3.660000085830688
-1, 3315.310001,112,3820,38200000.000000000000000,3.500000000000000
-1, 3315.310002,113,5689,56890000.000000000000000,4.000000000000000
-1, 3315.100401,114,3225,32250000.000000000000000,4.159999847412109
-1, 3315.100403,115,2680,26800000.000000000000000,3.829999923706055
-1, 3315.100402,116,5241,52410000.000000000000000,4.829999923706055
-1, 3315.100102,117,1594,15940000.000000000000000,2.670000076293945
-1, 3315.320003,118,3422,34220000.000000000000000,3.000000000000000
-1, 3315.320001,119,3317,33170000.000000000000000,3.000000000000000
-1, 3315.330002,120,3257,32570000.000000000000000,3.000000000000000
-1, 3315.340002,121,914,9140000.000000000000000,1.840000033378601
-1, 3315.340001,122,3396,33960000.000000000000000,3.660000085830688
-1, 3315.330001,123,1764,17640000.000000000000000,2.339999914169312
-1, 3315.320002,124,2269,22690000.000000000000000,2.670000076293945
-1, 3315.340004,125,3740,37400000.000000000000000,3.000000000000000
-1, 3315.310003,126,3930,39300000.000000000000000,3.000000000000000
-1, 3315.340003,127,2269,22690000.000000000000000,2.670000076293945
